the_geom,address,allzoning1,allzoning2,appbbl,appdate,areasource,assessland,assesstot,bbl,bldgarea,bldgclass,bldgdepth,bldgfront,block,borocode,bsmtcode,builtcode,builtfar,cb2010,cd,comarea,commfar,condono,council,ct2010,easements,edesignum,exemptland,exempttot,ext,facilfar,factryarea,firecomp,garagearea,healtharea,histdist,irrlotcode,landmark,landuse,lot,lotarea,lotdepth,lotfront,lottype,ltdheight,numbldgs,numfloors,officearea,otherarea,overlay1,overlay2,ownername,ownertype,plutomapid,policeprct,proxcode,resarea,residfar,retailarea,sanborn,schooldist,spdist1,spdist2,splitzone,strgearea,taxmap,tract2010,unitsres,unitstotal,version,xcoord,ycoord,yearalter1,yearalter2,yearbuilt,zipcode,zmcode,zonedist1,zonedist2,zonedist3,zonedist4,zonemap
0106000020E61000000100000001030000000100000006000000C0F079B23D7D52C0EF269A50935E4440B37142402E7D52C006BF2CD86E5E4440155AB141337D52C04546F869695E4440D8C0A124437D52C0CEEC5F188E5E44403AE706C23D7D52C012485A74935E4440C0F079B23D7D52C0EF269A50935E4440,99 COMMERCIAL STREET,C2-4/R6,,0,,7,436500,888300,3024720400,87277,C7,484,100,2472,3,2,,1.8,1001,301,38413,0,0,33,563,0,,0,0,,4.8,0,L106,0,100,,N,,04,400,48500,484.5,100,5,,1,4,0,0,C2-4,,99 COMMERCIAL ST INC,P,1,94,0,48864,2.43,0,304 009,14,,,N,38413,30901,0563,21,22,15v1,996281,208239,2012,0,1931,11222,Y,R6,,,,8d
0106000020E61000000100000001030000000100000008000000B37142402E7D52C006BF2CD86E5E4440C0F079B23D7D52C0EF269A50935E444061C95BA6287D52C082F126FF985E4440D89DAC47287D52C034E813DB985E44403BA28F16287D52C0F20251CE985E4440862566D0267D52C03272422C8B5E44408482E47A2A7D52C0ABA479EF725E4440B37142402E7D52C006BF2CD86E5E4440,1155 MANHATTAN AVENUE,M1-2,R6,0,,7,1664550,5668200,3024720350,364000,F9,350,481,2472,3,5,,3.54,1001,301,364000,2,0,33,563,0,,0,2133000,,4.8,361000,L106,0,100,,Y,,06,350,102811,350,481,3,,2,6,0,3000,,,MANHATTAN AVE HOLDING,P,1,94,0,0,0,0,304 009,14,,,Y,0,30901,0563,0,110,15v1,996429,208340,2012,0,1906,11222,Y,M1-2,R6,,,9b
0106000020E610000001000000010300000001000000040000007763129D2F7D52C0D9D17117605E4440F8620538377D52C0375677AC5E5E444046BF2C1D307D52C0566F2270665E44407763129D2F7D52C0D9D17117605E4440,COMMERCIAL STREET,M1-2,,0,,7,34200,34200,3024780001,0,G7,0,0,2478,3,5,,0,2000,301,0,2,0,33,563,0,,0,0,,4.8,0,L106,0,100,,N,,10,1,4154,124.17,141.25,3,,0,0,0,0,,,VECTOR WEST REALTY CO,P,1,94,0,0,0,0,304 009,14,,,N,0,30901,0563,0,0,15v1,996389,207918,0,0,0,11222,,M1-2,,,,13a
0106000020E61000000100000001030000000100000007000000AF57BC7D2E7D52C0B0D8FBED645E4440BA31D7C22E7D52C0C8201BE1645E444068ABC2662E7D52C076474B51605E44407763129D2F7D52C0D9D17117605E444046BF2C1D307D52C0566F2270665E4440458FBABA2E7D52C0870C7DF3675E4440AF57BC7D2E7D52C0B0D8FBED645E4440,COMMERCIAL STREET,M1-2,,0,,7,13050,13050,3024780006,0,G7,0,0,2478,3,5,,0,,301,0,2,0,33,563,0,,0,0,,4.8,0,L106,0,100,,Y,,10,6,1600,67.25,28.42,5,,0,0,0,0,,,VECTOR WEST REALTY,P,1,94,0,0,0,0,304 009,14,,,N,0,30901,0563,0,0,15v1,0,0,0,0,0,11222,,M1-2,,,,13a
0106000020E61000000100000001030000000100000006000000D75D14852C7D52C0E1F616AB605E444068ABC2662E7D52C076474B51605E4440BA31D7C22E7D52C0C8201BE1645E4440AF57BC7D2E7D52C0B0D8FBED645E44406FCF54E12C7D52C03EA4DE3A655E4440D75D14852C7D52C0E1F616AB605E4440,19 BOX STREET,M1-2,,0,,7,18450,61200,3024780015,1500,F9,50,30,2478,3,5,E,1,2000,301,1500,2,0,33,563,0,,0,0,,4.8,1500,L106,0,100,,N,,06,15,1500,50,30,5,,1,1,0,0,,,HARRIS ASSOCIATES LLC,P,1,94,0,0,0,0,304 009,14,,,N,0,30901,0563,0,1,15v1,996468,207930,1991,0,1930,11222,,M1-2,,,,13a
0106000020E61000000100000001030000000100000007000000EC2BB171287D52C06C4D950E665E44408A446A032B7D52C064AEF793655E44406FCF54E12C7D52C03EA4DE3A655E4440AF57BC7D2E7D52C0B0D8FBED645E4440458FBABA2E7D52C0870C7DF3675E44409D668814297D52C09761E51F6E5E4440EC2BB171287D52C06C4D950E665E4440,1145 MANHATTAN AVENUE,M1-2,,0,,7,59400,87300,3024780008,1740,G2,29,60,2478,3,0,,0.3,2000,301,1740,2,0,33,563,0,,0,0,,4.8,0,L106,1740,100,,Y,,10,8,5792,85,113.73,3,,1,1,0,0,,,GREENPOINT PLAZA REAL,P,1,94,1,0,0,0,304 009,14,,,N,0,30901,0563,0,1,15v1,996508,207994,0,0,1931,11222,,M1-2,,,,13a
0106000020E61000000100000001030000000100000007000000668DA9D72A7D52C01B3A1169635E44403C50FE4F2B7D52C0DB14A352635E44409C33AA1F2B7D52C08099B9ED605E4440D75D14852C7D52C0E1F616AB605E44406FCF54E12C7D52C03EA4DE3A655E44408A446A032B7D52C064AEF793655E4440668DA9D72A7D52C01B3A1169635E4440,21 BOX STREET,M1-2,,0,,7,30600,53100,3024780014,1300,E9,50,26,2478,3,5,,0.86,2000,301,1300,2,0,33,563,0,,0,0,,4.8,1300,L106,0,100,,Y,,06,14,1520,50,26,5,,1,1,0,0,,,HARRIS ASSOCIATES LLC,P,1,94,0,0,0,0,304 009,14,,,N,0,30901,0563,0,1,15v1,996497,207936,0,0,1931,11222,,M1-2,,,,13a
0106000020E610000001000000010300000001000000060000009C33AA1F2B7D52C08099B9ED605E44403C50FE4F2B7D52C0DB14A352635E4440668DA9D72A7D52C01B3A1169635E444090D8EF45287D52C03FD1AEE3635E4440CC7F9D15287D52C0124CC57E615E44409C33AA1F2B7D52C08099B9ED605E4440,1139 MANHATTAN AVENUE,M1-2,,0,,7,11100,20400,3024780013,3600,S2,48,25,2478,3,2,,2.94,2000,301,1200,2,0,33,563,0,,0,0,,4.8,1200,L106,0,100,,N,,04,13,1223,48.92,25,5,,1,3,0,0,,,MANBOX RLTY CORP,P,1,94,0,2400,0,0,304 009,14,,,N,0,30901,0563,2,3,15v1,996534,207926,0,0,1931,11222,,M1-2,,,,13a
0106000020E6100000010000000103000000010000000500000090D8EF45287D52C03FD1AEE3635E4440668DA9D72A7D52C01B3A1169635E44408A446A032B7D52C064AEF793655E4440EC2BB171287D52C06C4D950E665E444090D8EF45287D52C03FD1AEE3635E4440,1141 MANHATTAN AVENUE,M1-2,,0,,7,10140,18660,3024780012,3000,S2,40,25,2478,3,2,,3,2000,301,1000,2,0,33,563,0,,0,0,,4.8,0,L106,0,100,,Y,,04,12,1000,40,25,5,,1,3,0,0,,,1141 MANHATTAN AVENUE,P,1,94,0,2000,0,0,304 009,14,,,N,1000,30901,0563,2,3,15v1,996535,207952,0,0,1931,11222,,M1-2,,,,13a
0106000020E61000000100000001030000000100000007000000B9BF8B5A1E7D52C01425BC8C6C5E4440A335B82A1E7D52C0FC838C566A5E4440854FE52A247D52C01080A235695E4440F13F975A247D52C0F9BBA3736B5E444084E4E80E247D52C0DC2722D86D5E444017134F8D1E7D52C05105B9E56E5E4440B9BF8B5A1E7D52C01425BC8C6C5E4440,1150 MANHATTAN AVENUE,M1-2,,0,,7,59400,139950,3024790004,4900,F9,100,50,2479,3,5,,1,1002,301,4900,2,0,33,579,0,,0,0,,4.8,4900,L106,0,300,,Y,,06,4,4900,100,51.25,5,,1,1,0,0,,,1150 MANHATTAN AVENUE,,1,94,0,0,0,0,304 010,14,,,N,0,30901,0579,0,1,15v1,996677,208033,0,0,1931,11222,,M1-2,,,,13a
